,,,,,,,,,,,
 Arteriors Lights selection,,12, ,,,,,,,,
STATUS,MATERIAL,CATEGORY,QTY/ SIZE,LINK,RETAIL PRICE,Showroom pricing,ID,ETA,Column 1,Column 2,Column 3
STATUS,MATERIAL,CATEGORY,QTY/ SIZE,LINK,PRICE,FINISH,ID,ETA,Column 1,,
Arrived,Pendant 1,Lighting,1,Pendant ,"$2,690.00","$1,076.00",9000-1098,,,,
Arrived,Pendant 2,Lighting,1,Delphos Chandelier,"$6,900.00","$2,760.00",9000-1149,,,,
Arrived,Pendant 3,Lighting,1,Polyhedron Small Pendant,"$1,740.00",$696.00,9000-1233,,,,
Arrived,Pendant 4 ( Woman's Bathroom ),Lighting,1,Lunaria Silver Oval Chandelier,"$2,280.00",$356.00,9000-0816,,,,
Arrived,**New Sconce,Lighting,1,Baron Wall Sconce,"$1,300.00",$390.00,5900-0036,,,,
Arrived,**New Sconce,Lighting,1,Etiquette Wall Sconce,$700.00,$280.00,5000-0236,,,,
Missing,Sconces 1,Lighting,1,"Catrice Wall Sconce, Right",$540.00,$162.00,5000-0138,REPLACED,,,
Missing,Sconces 2,Lighting,1,"Highsmith Wall Sconce, Right","$1,030.00",$412.00,"5000-0257



",REPLACED,,,
Arrived,Sconces 3,Lighting,1,Bryce Bronze Bath Wall Sconce,$400.00,$160.00,5800-0048,,,,
Arrived,Sconces 4,Lighting,1,Apricity Wall Sconce,$590.00,$236.00,5000-0258,,,,
Arrived,Sconces 5,Lighting,1,Pinders Gold Wall Sconce,$810.00,$324.00,5000-0130,,,,
Arrived,Sconces 6,Lighting,1,Magnum Opus Wall Sconce,"$2,240.00",$896.00,5000-0260,,,,
Arrived,Sconces 7,Lighting,1,Beatrix Beige Bath Wall Sconce,$740.00,$296.00,5800-0047,,,,
Arrived,Sconces 8,Lighting,1,Bruneau Brass Wall Sconce,$890.00,$356.00,5800-0016,,,,
Arrived,Sconces 9,Lighting,1,Byford Nickel Bath Wall Sconce,$720.00,$288.00,5800-0059,,,,
Arrived,Sconces 10 ( Woman's Bathroom ),Lighting,*2,Lunaria Silver Wall Sconce  ,$890.00,$356.00,ORDERED,,,,
Arrived,Designer Center,Lighting,1,Pathos 7-Light Linear Multi-Drop Pendant,"$2,970.00","$1,188.00",9000-1069,,,,
Arrived,Japandi Kitchen ,Lighting,2,Shizen Chandelier,"$7,980.00","$1,596.00",9000-0965,,,,
Arrived,Employees Bathroom,Lighting,1,https://www.curreyandcompany.com/c/lighting/multi-drop-pendants/daze-multi-drop-pendant/?sku=9000-0889,"$1,530.00",$612.00,9000-0889,,,,
Arrived,Scandinavian Ktichen,Lighting,2,Barcarolle Linear Chandelier,"$2,040.00",$816.00,9000-1172,,,,
Arrived,Entry Stairs,Lighting,1,Mademoiselle Grande Chandelier,"$8,140.00","$3,256.00",9000-1238,,,,
,,Lighting,1,SUB TOTAL:,"$47,120.00","$16,164.80",,,,,
